date_collected,link,Primary Type,Article’s Perspective:,,
11/18/19,https://www.nowtheendbegins.com/kanye-west-sunday-service-jesus-is-king-lakewood-church-all-seeing-eye-horus-illuminati/,H,U,,Primary Type:
11/18/19,https://bipartisanreport.com/2019/11/18/doctor-tells-cnn-trumps-walter-reed-medical-visit-was-fishy/,PE,L,,Politics or Economics (PE)
11/18/19,https://themindunleashed.com/2019/11/family-facing-jail-living-rv-their-own-property-repair-home-after-fire.html,H,C,,"Science (S) (including natural disasters, health)"
11/19/19,https://clashdaily.com/2019/11/schiff-named-in-wh-officials-defamation-lawsuit-leaked-lies-to-politico-to-push-impeachment/,PE,C,,Human Interest (H)
11/19/19,https://www.palmerreport.com/analysis/annoymous-rudy-giuliani-berserk/23040/,PE,L,,Other (O)
11/19/19,https://tribunist.com/news/active-shooter-commits-suicide-after-being-confronted-by-armed-citizen-at-ok-walmart/,H,N,,
11/20/19,https://dcdirtylaundry.com/no-shots-fired-citizen-with-a-gun-ends-gunmans-attack-at-oklahoma-walmart/,PE,C,,
11/20/19,https://crooksandliars.com/2019/11/lt-col-vindman-americaright-matters,PE,L,,Article’s perspective:
11/20/19,https://www.naturalnews.com/2019-11-19-pounds-lost-doesnt-mean-fat-lost.html,S,N,,Conservative (c)
11/21/19,https://www.teaparty.org/indictment-against-head-of-burisma-reveals-hunter-biden-was-receiving-payments-from-money-raised-through-criminal-means-siphoned-laundered-from-ukraine-417981/,PE,C,,Liberal (l)
11/21/19,https://occupydemocrats.com/2019/11/20/sondlands-testimony-directly-implicates-trump-pence-and-pompeo-in-ukraine-quid-pro-quo-plot/,PE,L,,Neutral (n)
11/21/19,https://www.zerohedge.com/geopolitical/ukrainian-indictment-reveals-hunter-biden-group-made-165-million-mp,PE,C,,Unclear (u)
12/2/19,https://dailycaller.com/2019/12/02/steve-bullock-drops-out-presidential-race/,PE,N,,
12/2/19,https://bipartisanreport.com/2019/12/01/senator-announces-impeach-vote-hint-that-has-trump-fuming/,PE,L,,
12/2/19,https://www.collective-evolution.com/2019/11/29/bestselling-novelist-who-wrote-about-vaccine-industry-deception-found-dead/,H,U,,
12/3/19,https://www.express.co.uk/news/uk/1212362/Donald-Trump-News-Jeremy-Corbyn-General-Election-Boris-Johnson-NHS,PE,N,,
12/3/19,https://www.palmerreport.com/analysis/the-sealed-indictment-a-that-donald-trump-needs-to-worry-about-more-than-ever/23359/,PE,L,,
12/3/19,https://tribunist.com/news/americans-bought-enough-guns-on-black-friday-to-arm-the-marine-corps-yet-again/,PE,U,,
12/4/19,https://www.dcclothesline.com/2019/12/04/in-2018-86-of-those-arrested-for-violent-crime-in-los-angeles-were-non-white-5-were-white-the-city-is-28-white/,PE,C,,
12/4/19,https://crooksandliars.com/2019/12/devin-nunes-shamelessly-lies-when-hannity,PE,L,,
12/4/19,https://friendsforsyria.com/2019/12/04/ukrainian-neo-nazis-help-out-at-hong-kong-riots-pan-democrats-defend-them/,PE,U,,
12/5/19,https://barenakedislam.com/2019/12/05/ding-ding-ding-first-muslim-woman-elected-to-pennsylvania-house-of-representatives-has-been-arrested-for-stealing-500000-from-a-charity/,PE,C,,
12/5/19,https://occupydemocrats.com/2019/12/04/trump-caught-by-reporters-patting-himself-on-back-for-insulting-justin-trudeau/,PE,L,,
12/5/19,https://www.zerohedge.com/markets/china-says-us-must-reduce-tariffs-phase-one-trade-deal-amid-stalled-talks,PE,N,,
12/9/19,https://www.infowars.com/never-trumper-rick-wilson-suggests-putting-anti-vaxxers-in-re-education-camps/,PE,C,,
12/9/19,https://bipartisanreport.com/2019/12/07/ex-intel-slam-trump-for-sucking-up-to-saudis-after-navy-shooting/,PE,L,,
12/9/19,https://ijr.com/biden-denies-wrongdoing-in-ukraine-during-testy-interview/,PE,C,,
12/10/19,https://www.teaparty.org/breaking-ukrainian-official-reveals-six-criminal-cases-opened-in-ukraine-involving-the-bidens-420208/,PE,C,,
12/10/19,https://www.palmerreport.com/analysis/nancy-pelosi-knows-something-we-dont/23491/,PE,N,,
12/10/19,https://stillnessinthestorm.com/2019/12/stressed-to-the-max-deep-sleep-can-rewire-the-anxious-brain/,S,N,,
12/11/19,https://clashdaily.com/2019/12/ukraine-advisor-disputes-key-point-in-impeachment-testimony-is-this-bad-news-for-democrats/,PE,C,,
